Latin_name,Family,SampleID,Leaf,Tair_(˚C),RH_(%),S_(W/m2),u_(m/s),Notes
Adenocalymma comosum,Bignoniaceae,1,1,33.23,78.5,619,0.1,
Adenocalymma comosum,Bignoniaceae,2,1,34.4,78.47,934,0.1,
Adenocalymma comosum,Bignoniaceae,3,1,34.33,73.93,908,0.1,
Adenocalymma comosum,Bignoniaceae,4,1,35.37,70.67,987,1.2,
Adenocalymma comosum,Bignoniaceae,5,1,33.23,78.67,138,0.1,
Adenocalymma comosum,Bignoniaceae,6,1,34.27,73.97,912,0.1,
Adenocalymma comosum,Bignoniaceae,7,1,3330,75.93,719,0.1,
Adenocalymma comosum,Bignoniaceae,8,2,35.37,70.67,988,0.1,
Adenocalymma comosum,Bignoniaceae,9,2,33.23,78.5,594,0.1,
Adenocalymma comosum,Bignoniaceae,10,2,33.23,78.67,127,0.1,
Adenocalymma comosum,Bignoniaceae,11,2,33.8,75.93,142,0.1,
Adenocalymma comosum,Bignoniaceae,12,2,34.33,73.93,922,0.6,
Adenocalymma comosum,Bignoniaceae,13,2,34.27,73.97,960,1.2,
Adenocalymma comosum,Bignoniaceae,14,2,34.4,78.47,860,0.6,
Adenocalymma comosum,Bignoniaceae,15,3,35.37,70.67,867,0.1,
Adenocalymma comosum,Bignoniaceae,16,3,34.27,73.97,649,0.3,
Adenocalymma comosum,Bignoniaceae,17,3,34.4,78.47,854,0.1,
Adenocalymma comosum,Bignoniaceae,18,3,33.23,78.5,826,0.1,
Adenocalymma comosum,Bignoniaceae,19,3,33.23,78.67,212,0.1,
Adenocalymma comosum,Bignoniaceae,20,3,34.33,73.93,421,0.1,
Adenocalymma comosum,Bignoniaceae,21,3,33.3,75.83,930,0.1,
Adenocalymma comosum,Bignoniaceae,22,3,33.8,75.93,709,0.6,
Adenocalymma comosum,Bignoniaceae,23,4,34.4,78.47,965,1000,wind gage switched to cm2
Adenocalymma comosum,Bignoniaceae,24,4,34.27,73.97,859,1000,wind gage switched to cm2
Adenocalymma comosum,Bignoniaceae,25,4,33.23,78.5,965,1000,wind gage switched to cm2
