Latin_name,Family,SampleID,Leaf,gs_mmol/ms,Tl_(˚C),Notes
Adenocalymma comosum,Bignoniaceae,1,1,172.7,37.4,
Adenocalymma comosum,Bignoniaceae,2,1,187.7,40.2,
Adenocalymma comosum,Bignoniaceae,3,1,NA,36.8,
Adenocalymma comosum,Bignoniaceae,4,1,NA,36.2,
Adenocalymma comosum,Bignoniaceae,5,1,580.2,30.2,
Adenocalymma comosum,Bignoniaceae,6,1,118.9,39.6,
Adenocalymma comosum,Bignoniaceae,7,1,715.7,32.6,
Adenocalymma comosum,Bignoniaceae,8,2,618.9,39.2,
Adenocalymma comosum,Bignoniaceae,9,2,228.7,36.8,
Adenocalymma comosum,Bignoniaceae,10,2,NA,29.6,
Adenocalymma comosum,Bignoniaceae,11,2,828.5,31.8,
Adenocalymma comosum,Bignoniaceae,12,2,556.1,38.4,
Adenocalymma comosum,Bignoniaceae,13,2,179.3,38.8,
Adenocalymma comosum,Bignoniaceae,14,2,126,41.6,
Adenocalymma comosum,Bignoniaceae,15,3,127.2,40.2,
Adenocalymma comosum,Bignoniaceae,16,3,NA,41.4,
Adenocalymma comosum,Bignoniaceae,17,3,NA,42,
Adenocalymma comosum,Bignoniaceae,18,3,20.4,42.8,
Adenocalymma comosum,Bignoniaceae,19,3,365.5,31.6,
Adenocalymma comosum,Bignoniaceae,20,3,246.7,37.2,
Adenocalymma comosum,Bignoniaceae,21,3,NA,33.8,
Adenocalymma comosum,Bignoniaceae,22,3,585.2,34.2,
Adenocalymma comosum,Bignoniaceae,23,4,NA,45.2,
Adenocalymma comosum,Bignoniaceae,24,4,29.2,42.2,
Adenocalymma comosum,Bignoniaceae,25,4,NA,45,
Adenocalymma comosum,Bignoniaceae,26,4,NA,30.2,
Adenocalymma comosum,Bignoniaceae,27,4,138.5,38.2,
Adenocalymma comosum,Bignoniaceae,28,4,88.9,39.4,
Adenocalymma comosum,Bignoniaceae,29,5,554.7,34.4,
Adenocalymma comosum,Bignoniaceae,30,5,NA,40.2,
Adenocalymma comosum,Bignoniaceae,31,5,NA,41.4,
Adenocalymma comosum,Bignoniaceae,32,5,352.3,33.2,
Adenocalymma comosum,Bignoniaceae,33,5,NA,41.8,
Adenocalymma comosum,Bignoniaceae,34,5,130.2,38.6,
Adenocalymma comosum,Bignoniaceae,35,5,NA,34,
Adenocalymma comosum,Bignoniaceae,36,5,36.7,42.2,
Adenocalymma comosum,Bignoniaceae,37,6,NA,35.2,
Adenocalymma comosum,Bignoniaceae,38,6,NA,41,
Adenocalymma comosum,Bignoniaceae,39,6,231.8,39.8,
Adenocalymma comosum,Bignoniaceae,40,6,419.2,35,
Adenocalymma comosum,Bignoniaceae,41,6,217.4,36,
Adenocalymma comosum,Bignoniaceae,42,6,NA,32.8,
Adenocalymma comosum,Bignoniaceae,43,6,NA,36.8,
Adenocalymma comosum,Bignoniaceae,44,6,571.3,30.6,
Adenocalymma comosum,Bignoniaceae,45,7,191.3,35.2,
Adenocalymma comosum,Bignoniaceae,46,7,386.4,37.4,
Adenocalymma comosum,Bignoniaceae,47,7,71,43.2,
Adenocalymma comosum,Bignoniaceae,48,7,NA,40,
Adenocalymma comosum,Bignoniaceae,49,7,60.4,41.2,
Adenocalymma comosum,Bignoniaceae,50,7,470.9,38.8,
Adenocalymma comosum,Bignoniaceae,51,7,438.8,29.6,
Adenocalymma comosum,Bignoniaceae,52,7,520.5,34.4,
Adenocalymma comosum,Bignoniaceae,53,7,92.3,38.8,
Adenocalymma comosum,Bignoniaceae,54,8,72.2,44.2,
Adenocalymma comosum,Bignoniaceae,55,8,364.1,34.4,
Adenocalymma comosum,Bignoniaceae,56,8,383,33.8,
Adenocalymma comosum,Bignoniaceae,57,8,NA,38.8,
Adenocalymma comosum,Bignoniaceae,58,8,253,38.2,
Adenocalymma comosum,Bignoniaceae,59,8,567.5,33.4,
Adenocalymma comosum,Bignoniaceae,60,8,121.4,40.8,
Adenocalymma comosum,Bignoniaceae,61,8,536.5,31,
Adenocalymma comosum,Bignoniaceae,62,8,NA,38.4,
Brunfelsia lactea,Solanaceae,63,1,279,31.8,
Brunfelsia lactea,Solanaceae,64,1,100.4,41.8,
Brunfelsia lactea,Solanaceae,65,1,153.8,42.8,
Brunfelsia lactea,Solanaceae,66,1,53.2,35.4,
Brunfelsia lactea,Solanaceae,67,1,413.5,38,
Brunfelsia lactea,Solanaceae,68,2,909.9,38.6,
Brunfelsia lactea,Solanaceae,69,2,400.2,38.2,
Brunfelsia lactea,Solanaceae,70,2,232.7,41.2,
Brunfelsia lactea,Solanaceae,71,2,147.1,32.4,
Brunfelsia lactea,Solanaceae,72,2,NA,39.2,
Brunfelsia lactea,Solanaceae,73,3,497.5,34.4,
Brunfelsia lactea,Solanaceae,74,3,210.3,35.6,
Brunfelsia lactea,Solanaceae,75,3,175.6,36.6,
Brunfelsia lactea,Solanaceae,76,3,149.3,31.6,
Brunfelsia lactea,Solanaceae,77,3b,368.1,37.6,
Brunfelsia lactea,Solanaceae,78,4,77,40,
Brunfelsia lactea,Solanaceae,79,4,212.6,40.4,
Brunfelsia lactea,Solanaceae,80,4,104.4,40.4,
Brunfelsia lactea,Solanaceae,81,4,NA,40.6,
Brunfelsia lactea,Solanaceae,82,4,NA,33.2,
Brunfelsia lactea,Solanaceae,83,5,NA,37,
Brunfelsia lactea,Solanaceae,84,5,NA,32.2,
Brunfelsia lactea,Solanaceae,85,5,NA,35.4,
Brunfelsia lactea,Solanaceae,86,5,NA,38.6,
Brunfelsia lactea,Solanaceae,87,5,NA,36.4,
Brunfelsia lactea,Solanaceae,88,5,NA,31.8,
Brunfelsia lactea,Solanaceae,89,6,445.4,36.4,
Brunfelsia lactea,Solanaceae,90,6,508.2,38.6,
Brunfelsia lactea,Solanaceae,91,6,NA,40.2,
Brunfelsia lactea,Solanaceae,92,6,425.7,32.2,
Brunfelsia lactea,Solanaceae,93,6,367.2,39.8,
Brunfelsia lactea,Solanaceae,94,6,NA,32,
Brunfelsia lactea,Solanaceae,95,7,349.3,30.8,
Brunfelsia lactea,Solanaceae,96,7,NA,37.6,
Brunfelsia lactea,Solanaceae,97,7,410,40,
Brunfelsia lactea,Solanaceae,98,7,409.4,38.8,
Brunfelsia lactea,Solanaceae,99,7,426.1,41.6,
Brunfelsia lactea,Solanaceae,100,8,486.8,35.6,
Brunfelsia lactea,Solanaceae,101,8,419,36.8,
Brunfelsia lactea,Solanaceae,102,8,373.3,40.6,
Brunfelsia lactea,Solanaceae,103,8,428.6,38,
Brunfelsia lactea,Solanaceae,104,8,321.8,31,
Combretum rotundifolium,Combretaceae,105,1,NA,47,
Combretum rotundifolium,Combretaceae,106,1,NA,40,
Combretum rotundifolium,Combretaceae,107,1,201.8,42,
Combretum rotundifolium,Combretaceae,108,1,NA,39.8,
Combretum rotundifolium,Combretaceae,109,1,245.5,40.6,
Combretum rotundifolium,Combretaceae,110,1,129.7,37,
Combretum rotundifolium,Combretaceae,111,1,NA,44.4,
Combretum rotundifolium,Combretaceae,112,1,158.3,39.6,
Combretum rotundifolium,Combretaceae,113,1,135.5,45,
Combretum rotundifolium,Combretaceae,114,1,210.7,36.2,
Combretum rotundifolium,Combretaceae,115,2,NA,40.2,
Combretum rotundifolium,Combretaceae,116,2,NA,39.2,
Combretum rotundifolium,Combretaceae,117,2,30.7,47.6,
Combretum rotundifolium,Combretaceae,118,2,170.2,36,
Combretum rotundifolium,Combretaceae,119,2,220.6,41.4,
Combretum rotundifolium,Combretaceae,120,2,208.3,40.6,
Combretum rotundifolium,Combretaceae,121,2,NA,42,
Combretum rotundifolium,Combretaceae,122,2,227.8,39,
Combretum rotundifolium,Combretaceae,123,2,140,40,
Combretum rotundifolium,Combretaceae,124,2,NA,39.8,
Combretum rotundifolium,Combretaceae,125,3,218,38.6,
Combretum rotundifolium,Combretaceae,126,3,283.6,30.6,
Combretum rotundifolium,Combretaceae,127,3,184.3,40.4,
Combretum rotundifolium,Combretaceae,128,3,291.2,36,
Combretum rotundifolium,Combretaceae,129,3,NA,38.6,
Combretum rotundifolium,Combretaceae,130,3,91.7,42.4,
Combretum rotundifolium,Combretaceae,131,3,106.6,46.6,
Combretum rotundifolium,Combretaceae,132,3,285.2,35,
Combretum rotundifolium,Combretaceae,133,3,231.3,41.8,
Combretum rotundifolium,Combretaceae,134,3,34.8,46.8,
Combretum rotundifolium,Combretaceae,135,4,NA,45.4,
Combretum rotundifolium,Combretaceae,136,4,260.4,36.4,
Combretum rotundifolium,Combretaceae,137,4,252.8,40.2,
Combretum rotundifolium,Combretaceae,138,4,96.3,37.8,
Combretum rotundifolium,Combretaceae,139,4,NA,42.4,
Combretum rotundifolium,Combretaceae,140,4,243.9,32.4,
Combretum rotundifolium,Combretaceae,141,4,125,28.6,
Combretum rotundifolium,Combretaceae,142,4,NA,41,
Combretum rotundifolium,Combretaceae,143,4,367.2,40.4,
Combretum rotundifolium,Combretaceae,144,4,NA,36.8,
Combretum rotundifolium,Combretaceae,145,4,84.9,36.8,
Combretum rotundifolium,Combretaceae,146,5,NA,33,
Combretum rotundifolium,Combretaceae,147,5,NA,34,
Combretum rotundifolium,Combretaceae,148,5,204.2,33.2,
Combretum rotundifolium,Combretaceae,149,5,233.7,35.2,
Combretum rotundifolium,Combretaceae,150,5,256.4,39,
Combretum rotundifolium,Combretaceae,151,5,195.7,40,
Combretum rotundifolium,Combretaceae,152,5,NA,28.2,
Combretum rotundifolium,Combretaceae,153,5,NA,41.8,
Combretum rotundifolium,Combretaceae,154,5,71.4,40.8,
Combretum rotundifolium,Combretaceae,155,5,NA,37.2,
Combretum rotundifolium,Combretaceae,156,5,303.6,30.4,
Combretum rotundifolium,Combretaceae,157,6,NA,37,
Combretum rotundifolium,Combretaceae,158,6,214.1,39.2,
Combretum rotundifolium,Combretaceae,159,6,205.5,37.4,
Combretum rotundifolium,Combretaceae,160,6,NA,35.4,
Combretum rotundifolium,Combretaceae,161,6,136.9,38.6,
Combretum rotundifolium,Combretaceae,162,6,162.8,40.8,
Combretum rotundifolium,Combretaceae,163,6,182.7,40.6,
Combretum rotundifolium,Combretaceae,164,6,212.2,31.6,
Combretum rotundifolium,Combretaceae,165,6,156.2,36.8,
Combretum rotundifolium,Combretaceae,166,6,NA,38.6,
Combretum rotundifolium,Combretaceae,167,7,NA,32.6,
Combretum rotundifolium,Combretaceae,168,7,102.7,44.2,
Combretum rotundifolium,Combretaceae,169,7,223.8,40,
Combretum rotundifolium,Combretaceae,170,7,NA,41.4,
Combretum rotundifolium,Combretaceae,171,7,207.5,41.6,
