Latin_name,Family,Leaf,Tair_(˚C),RH_(%),S_(W/m2),u_(m/s),gs_mmol/ms,Tl_(˚C),Notes
Adenocalymma comosum,Bignoniaceae,1,33.23,78.5,619,0.1,172.7,37.4,
Adenocalymma comosum,Bignoniaceae,1,34.4,78.47,934,0.1,187.7,40.2,
Adenocalymma comosum,Bignoniaceae,1,34.33,73.93,908,0.1,NA,36.8,
Adenocalymma comosum,Bignoniaceae,1,35.37,70.67,987,1.2,NA,36.2,
Adenocalymma comosum,Bignoniaceae,1,33.23,78.67,138,0.1,580.2,30.2,
Adenocalymma comosum,Bignoniaceae,1,34.27,73.97,912,0.1,118.9,39.6,
Adenocalymma comosum,Bignoniaceae,1,3330,75.93,719,0.1,715.7,32.6,
Adenocalymma comosum,Bignoniaceae,2,35.37,70.67,988,0.1,618.9,39.2,
Adenocalymma comosum,Bignoniaceae,2,33.23,78.5,594,0.1,228.7,36.8,
Adenocalymma comosum,Bignoniaceae,2,33.23,78.67,127,0.1,NA,29.6,
Adenocalymma comosum,Bignoniaceae,2,33.8,75.93,142,0.1,828.5,31.8,
Adenocalymma comosum,Bignoniaceae,2,34.33,73.93,922,0.6,556.1,38.4,
Adenocalymma comosum,Bignoniaceae,2,34.27,73.97,960,1.2,179.3,38.8,
Adenocalymma comosum,Bignoniaceae,2,34.4,78.47,860,0.6,126,41.6,
Adenocalymma comosum,Bignoniaceae,3,35.37,70.67,867,0.1,127.2,40.2,
Adenocalymma comosum,Bignoniaceae,3,34.27,73.97,649,0.3,NA,41.4,
Adenocalymma comosum,Bignoniaceae,3,34.4,78.47,854,0.1,NA,42,
Adenocalymma comosum,Bignoniaceae,3,33.23,78.5,826,0.1,20.4,42.8,
Adenocalymma comosum,Bignoniaceae,3,33.23,78.67,212,0.1,365.5,31.6,
Adenocalymma comosum,Bignoniaceae,3,34.33,73.93,421,0.1,246.7,37.2,
Adenocalymma comosum,Bignoniaceae,3,33.3,75.83,930,0.1,NA,33.8,
Adenocalymma comosum,Bignoniaceae,3,33.8,75.93,709,0.6,585.2,34.2,
Adenocalymma comosum,Bignoniaceae,4,34.4,78.47,965,1000,NA,45.2,wind gage switched to cm2
Adenocalymma comosum,Bignoniaceae,4,34.27,73.97,859,1000,29.2,42.2,wind gage switched to cm2
