Latin_name,Family,Leaf,Tair_(˚C),RH_(%),S_(W/m2),u_(m/s),gs_mmol/ms,Tl_(˚C)
Adenocalymma comosum,Bignoniaceae,1,33.23,78.50,619,0.1,172.7,37.4
Adenocalymma comosum,Bignoniaceae,1,34.40,78.47,934,0.1,187.7,40.2
Adenocalymma comosum,Bignoniaceae,1,34.33,73.93,908,0.1,NA,36.8
Adenocalymma comosum,Bignoniaceae,1,35.37,70.67,987,1.2,NA,36.2
Adenocalymma comosum,Bignoniaceae,1,33.23,78.67,138,0.1,580.2,30.2
Adenocalymma comosum,Bignoniaceae,1,34.27,73.97,912,0.1,118.9,39.6
Adenocalymma comosum,Bignoniaceae,1,33.80,75.93,719,0.1,715.7,32.6
Adenocalymma comosum,Bignoniaceae,2,35.37,70.67,988,0.1,618.9,39.2
Adenocalymma comosum,Bignoniaceae,2,33.23,78.50,594,0.1,228.7,36.8
Adenocalymma comosum,Bignoniaceae,2,33.23,78.67,127,0.1,NA,29.6
Adenocalymma comosum,Bignoniaceae,2,33.80,75.93,142,0.1,828.5,31.8
Adenocalymma comosum,Bignoniaceae,2,34.33,73.93,922,0.6,556.1,38.4
Adenocalymma comosum,Bignoniaceae,2,34.27,73.97,960,1.2,179.3,38.8
Adenocalymma comosum,Bignoniaceae,2,34.40,78.47,860,0.6,126,41.6
Adenocalymma comosum,Bignoniaceae,3,35.37,70.67,867,0.1,127.2,40.2
Adenocalymma comosum,Bignoniaceae,3,34.27,73.97,649,0.3,NA,41.4
Adenocalymma comosum,Bignoniaceae,3,34.40,78.47,854,0.1,NA,42
Adenocalymma comosum,Bignoniaceae,3,33.23,78.50,826,0.1,20.4,42.8
Adenocalymma comosum,Bignoniaceae,3,33.23,78.67,212,0.1,365.5,31.6
Adenocalymma comosum,Bignoniaceae,3,34.33,73.93,421,0.1,246.7,37.2
Adenocalymma comosum,Bignoniaceae,3,33.30,75.83,930,0.1,NA,33.8
Adenocalymma comosum,Bignoniaceae,3,33.80,75.93,709,0.6,585.2,34.2
Adenocalymma comosum,Bignoniaceae,4,34.40,78.47,965,0.1,NA,45.2
Adenocalymma comosum,Bignoniaceae,4,34.27,73.97,859,0.1,29.2,42.2
Adenocalymma comosum,Bignoniaceae,4,33.23,78.50,965,0.1,NA,45
Adenocalymma comosum,Bignoniaceae,4,33.23,78.67,175,0.5,NA,30.2
Adenocalymma comosum,Bignoniaceae,4,34.33,73.93,817,0.1,138.5,38.2
Adenocalymma comosum,Bignoniaceae,4,35.37,70.67,990,0.6,88.9,39.4
Adenocalymma comosum,Bignoniaceae,5,33.80,75.93,623,0.1,554.7,34.4
Adenocalymma comosum,Bignoniaceae,5,33.23,78.50,907,0.1,NA,40.2
Adenocalymma comosum,Bignoniaceae,5,35.37,70.67,947,0.4,NA,41.4
Adenocalymma comosum,Bignoniaceae,5,33.30,75.83,931,0.1,352.3,33.2
Adenocalymma comosum,Bignoniaceae,5,34.40,78.47,978,0.1,NA,41.8
Adenocalymma comosum,Bignoniaceae,5,34.33,73.93,968,0.7,130.2,38.6
Adenocalymma comosum,Bignoniaceae,5,33.23,78.67,494,0.1,NA,34
Adenocalymma comosum,Bignoniaceae,5,34.27,73.97,953,0.1,36.7,42.2
Adenocalymma comosum,Bignoniaceae,6,33.30,75.83,975,0.1,NA,35.2
Adenocalymma comosum,Bignoniaceae,6,33.23,78.50,942,0.1,NA,41
Adenocalymma comosum,Bignoniaceae,6,34.40,78.47,852,0.1,231.8,39.8
Adenocalymma comosum,Bignoniaceae,6,35.37,70.67,663,0.1,419.2,35
Adenocalymma comosum,Bignoniaceae,6,33.80,75.93,623,0.5,217.4,36
Adenocalymma comosum,Bignoniaceae,6,34.33,73.93,720,0.1,NA,32.8
Adenocalymma comosum,Bignoniaceae,6,34.27,73.97,675,0.4,NA,36.8
Adenocalymma comosum,Bignoniaceae,6,33.23,78.67,634,0.1,571.3,30.6
Adenocalymma comosum,Bignoniaceae,7,34.33,73.93,806,0.1,191.3,35.2
Adenocalymma comosum,Bignoniaceae,7,33.30,75.83,962,0.1,386.4,37.4
Adenocalymma comosum,Bignoniaceae,7,34.40,78.47,841,0.1,71,43.2
Adenocalymma comosum,Bignoniaceae,7,35.37,70.67,999,0.1,NA,40
Adenocalymma comosum,Bignoniaceae,7,33.23,78.50,869,0.1,60.4,41.2
Adenocalymma comosum,Bignoniaceae,7,33.80,75.93,1024,0.5,470.9,38.8
Adenocalymma comosum,Bignoniaceae,7,30.97,91.47,144,0.1,438.8,29.6
Adenocalymma comosum,Bignoniaceae,7,33.23,78.67,526,0.1,520.5,34.4
Adenocalymma comosum,Bignoniaceae,7,34.27,73.97,742,0.7,92.3,38.8
Adenocalymma comosum,Bignoniaceae,8,34.40,78.47,988,0.1,72.2,44.2
Adenocalymma comosum,Bignoniaceae,8,33.30,75.83,837,0.1,364.1,34.4
Adenocalymma comosum,Bignoniaceae,8,33.80,75.93,873,0.1,383,33.8
Adenocalymma comosum,Bignoniaceae,8,34.33,73.93,899,0.3,NA,38.8
Adenocalymma comosum,Bignoniaceae,8,35.37,70.67,966,0.1,253,38.2
Adenocalymma comosum,Bignoniaceae,8,33.23,78.67,340,0.1,567.5,33.4
Adenocalymma comosum,Bignoniaceae,8,33.23,78.50,934,0.1,121.4,40.8
Adenocalymma comosum,Bignoniaceae,8,30.97,91.47,218,1.3,536.5,31
Adenocalymma comosum,Bignoniaceae,8,34.27,73.97,794,0.8,NA,38.4
Bauhinia divaricata,Fabaceae,1,32.77,81.70,717,0.1,377.4,37.2
Bauhinia divaricata,Fabaceae,1,32.47,82.87,660,0.1,376.8,30.8
Bauhinia divaricata,Fabaceae,1,34.30,75.03,581,0.1,319,34.8
Bauhinia divaricata,Fabaceae,1,35.93,63.53,714,0.1,248.9,34.8
Bauhinia divaricata,Fabaceae,1,33.55,78.10,120,0.1,378.6,29.6
Bauhinia divaricata,Fabaceae,1,31.13,73.20,423,0.1,57,38.6
Bauhinia divaricata,Fabaceae,1,32.70,71.20,610,0.1,NA,36
Bauhinia divaricata,Fabaceae,2,32.70,71.20,967,0.1,305.4,38.2
