"","X","POVI","Date","HR","Tb_predict","Tb_obs"
"1",1,"POVI_16","2019-01-23",10,38.3,36
"2",2,"POVI_16","2019-01-23",11,38.3,36
"3",3,"POVI_16","2019-01-23",12,37.8,36
"4",4,"POVI_16","2019-01-23",13,38,35.5
"5",5,"POVI_16","2019-01-23",14,37.8,35.5
"6",6,"POVI_16","2019-01-23",15,37.9,35.5
"7",7,"POVI_16","2019-01-23",16,38.7,35.5
"8",8,"POVI_16","2019-01-23",17,36.4,38
"9",9,"POVI_16","2019-01-23",18,35.5,35
"10",10,"POVI_16","2019-01-23",19,35.1,34.5
"11",11,"POVI_16","2019-01-23",20,33.5,34
"12",12,"POVI_16","2019-01-23",21,32.5,32.5
"13",13,"POVI_16","2019-01-23",22,31.6,31.5
"14",14,"POVI_16","2019-01-23",23,29.6,31
"15",15,"POVI_16","2019-01-24",0,29.4,29.5
"16",16,"POVI_16","2019-01-24",1,29.8,29
"17",17,"POVI_16","2019-01-24",2,29.2,29
"18",18,"POVI_16","2019-01-24",3,28.8,28.5
"19",19,"POVI_16","2019-01-24",4,28.8,28
"20",20,"POVI_16","2019-01-24",5,29.2,28
"21",21,"POVI_16","2019-01-24",6,31.4,28.5
"22",22,"POVI_16","2019-01-24",7,34.7,30
"23",23,"POVI_16","2019-01-24",8,37.3,34
"24",24,"POVI_16","2019-01-24",9,38.5,34.5
"25",25,"POVI_16","2019-01-24",10,38.5,35
"26",26,"POVI_16","2019-01-24",11,37.2,36
"27",27,"POVI_16","2019-01-24",12,37.2,35.5
"28",28,"POVI_16","2019-01-24",13,37.4,35
"29",29,"POVI_16","2019-01-24",14,37.3,35
"30",30,"POVI_16","2019-01-24",15,37.3,35
"31",31,"POVI_16","2019-01-24",16,38.1,35
"32",32,"POVI_16","2019-01-24",17,39.4,35.5
"33",33,"POVI_16","2019-01-24",18,40.6,36
"34",34,"POVI_16","2019-01-24",19,38.9,39
"35",35,"POVI_16","2019-01-24",20,36.9,38
"36",36,"POVI_16","2019-01-24",21,36.4,36
"37",37,"POVI_16","2019-01-24",22,35.1,35.5
"38",38,"POVI_16","2019-01-24",23,34.5,34.5
"39",39,"POVI_16","2019-01-25",0,34.1,34
"40",40,"POVI_16","2019-01-25",1,34.6,33.5
"41",41,"POVI_16","2019-01-25",2,32.9,33.5
