Month,Day,Year,CaptureTime,BandNumber,Species,Age,Sex,Wing,Mass_g,Culmen,Hallux,Tail,StandardTail,Tarsus,WingPitFat,KeelFat,Crop
9,23,1992,10:50,745-49508,Cooper's,I,F,265,470,18.7,23.5,220,NA,NA,NA,NA,NA
9,20,1993,13:45,120407-804,Cooper's,I,NA,233,324,16,19.3,191,NA,NA,NA,NA,NA
10,1,1993,10:20,745-49512,Cooper's,I,F,252,340,16,20.8,230,NA,NA,NA,NA,NA
10,1,1993,10:45,745-49513,Cooper's,A,M,240,340,16.1,19.3,192,NA,NA,NA,NA,NA
10,12,1993,13:15,745-49515,Cooper's,I,F,271,475,18.2,24.75,232,NA,NA,NA,NA,NA
9,12,1994,11:24,1204-45804,Cooper's,A,M,233,340,17.8,19.4,186,NA,NA,NA,NA,NA
9,26,1994,10:54,2206-35417,Cooper's,I,F,260,420,19.6,23.9,220,NA,NA,NA,NA,NA
9,27,1994,8:00,1705-24603,Cooper's,I,F,265,365,16.8,22.5,224,NA,NA,NA,NA,NA
11,2,1994,12:26,1204-45805,Cooper's,A,M,239,183,17.3,19.2,182,NA,NA,NA,NA,NA
9,19,1995,10:05,1204-45806,Cooper's,A,M,236,390,15.1,20.4,185,NA,NA,NA,NA,NA
10,2,1995,13:55,1705-24606,Cooper's,I,M,223,550,18.8,21.3,210,NA,NA,NA,NA,NA
10,5,1995,11:08,1705-24607,Cooper's,I,F,273,530,19.2,24.7,213,NA,NA,NA,NA,NA
10,10,1995,14:25,1705-24608,Cooper's,I,F,259,470,16.6,23.4,221,NA,NA,NA,NA,NA
10,15,1995,14:20, ,Cooper's,A,NA,NA,480,17.7,32.1,198,NA,NA,NA,NA,NA
10,14,1996,9:40,1705-24609,Cooper's,I,M,225,350,12.6,26,215,NA,NA,NA,NA,NA
10,17,1996,13:05,1705-24610,Cooper's,A,M,247,375,16.9,18.2,160,NA,NA,NA,NA,NA
11,7,1996,13:20,1705-24611,Cooper's,I,M,225,400,15,20,202,NA,NA,NA,NA,NA
9,17,1997,15:02,1705-24626,Cooper's,I,F,265,464,19.2,24.1,225,229,73.3,0,0,0
9,23,1997,11:43,1705-24627,Cooper's,I,M,194,163,12.2,20,158,206,67.5,2,1,0
9,24,1997,10:19,1705-24628,Cooper's,A,F,377,1119,25.4,23.9,226,224,24.7,1,1,1
9,25,1997,12:05,1204-45809,Cooper's,I,M,336,742,23.4,18.8,221,205,67.2,0,0,0
9,26,1997,10:59,1705-24629,Cooper's,I,F,199,187,12.2,24.2,157,221,74.4,1,1,0.5
10,13,1997,14:21,1705-24630,Cooper's,I,F,268,469,20,24.9,227,232,75.3,1,1,0
10,17,1997,14:35,12044-5876,Cooper's,A,M,213,339,23.5,13.8,184,181,71.2,0,1,0
11,3,1997,11:30,12044-5877,Cooper's,I,M,235,327,16.5,20.3,193,196,69.2,1,1,0
10,12,1998,14:30,1204-45878,Cooper's,A,F,243,334,17.5,19.2,196,NA,NA,NA,NA,NA
10,29,1998,10:25,1705-24634,Cooper's,I,F,260,569,19.1,24,227,NA,NA,NA,NA,NA
9,7,1999,11:00,1205-24636,Cooper's,I,F,255,429,19,22.9,208,216,NA,NA,NA,NA
9,20,1999,10:17,1204-45867,Cooper's,A,M,225,340,15.7,19.4,190,198,NA,NA,2,1
10,4,1999,15:10,22-06-35428,Cooper's,A,F,252,540,20,28.8,185,211,NA,NA,1,1
10,5,1999,9:38,1204-45868,Cooper's,A,M,237,365,17.3,19.9,195,191,NA,NA,3,NA
10,6,1999,9:45,1705-24637,Cooper's,A,F,268,590,20,19.9,215,206,NA,NA,2,0.5
10,14,1999,14:45,1705-24639,Cooper's,A,F,254,505,19.6,24,212,209,NA,NA,3,0.25
9,16,2000,12:23,1705-37411,Cooper's,A,F,268,56,19.3,26.1,206,223,NA,NA,3,0.25
9,25,2000,9:50,1705-37412,Cooper's,A,F,145,320,16.5,20.5,180,196,NA,NA,1,0.25
9,25,2000,13:18,1204-45869,Cooper's,I,M,230,350,16.4,21.3,187,206,NA,NA,2,1
9,26,2000,13:23,2206-35431,Cooper's,I,F,272,565,20.7,24,219,240,NA,NA,2,0
9,27,2000,12:20,1204-45870,Cooper's,I,M,225,325,15.8,18.7,179,187,NA,NA,2,0.5
10,18,2000,12:14,2206-35432,Cooper's,A,F,266,535,18.8,25.4,223,229,NA,NA,3,0
10,21,2000,13:57,1705-24640,Cooper's,A,F,261,505,19.2,25.1,203,203,NA,NA,2,0
10,29,2000,13:36,1204-45871,Cooper's,I,M,223,375,16.2,20.7,185,208,NA,NA,2,1
9,22,2001,10:45,1705-24641,Cooper's,A,M,230,365,16.9,23.55,192,204,NA,NA,3,0.25
9,27,2001,13:40,1705-24642,Cooper's,I,F,320,229,17,21,195,199,NA,NA,2,0
10,2,2001,11:00,804-00202,Cooper's,I,M,227,155,17.1,21,192,204,NA,NA,1,0.25
10,2,2001,13:15,804-00203,Cooper's,A,M,230,340,16.1,20.2,198,202,NA,NA,2,0
10,23,2001,10:55,1705-24643,Cooper's,I,F,258,490,18,24.2,214,214,NA,NA,2,0
10,26,2001,12:20,1750-24644,Cooper's,A,F,254,515,19.5,23.8,218,221,NA,NA,3,0
11,1,2001,13:45,1705-24645,Cooper's,A,F,253,540,19.1,22.6,209,214,NA,NA,3,0
9,5,2002,12:45,1705-24648,Cooper's,A,F,260,565,20,24.2,216,215,NA,NA,2,0
9,13,2002,12:55,1705-14646,Cooper's,I,M,227,330,16,18.5,193,205,NA,NA,3,0.25
9,18,2002,12:08,1705-24647,Cooper's,I,F,261,455,17.1,26.8,216,220,NA,NA,2,0
9,23,2002,14:23,1705-24649,Cooper's,A,F,255,960,19.7,42.8,200,213,NA,NA,3,0.75
10,5,2002,14:27,1705-37416,Cooper's,A,F,260,565,19.7,54.5,205,212,NA,NA,2,0
10,6,2002,9:48,804-00205,Cooper's,A,M,234,380,12.4,21.9,192,195,NA,NA,3,0
10,11,2002,11:23,2206-35435,Cooper's,A,F,169,640,16.7,23.6,233,230,NA,NA,2.5,1
10,13,2002,10:00,804-00206,Cooper's,A,M,223,390,15.9,20.6,181,187,NA,NA,2.5,1
10,21,2002,11:05,1204-5874,Cooper's,I,M,230,340,16,19.5,196,198,NA,NA,3,0
11,4,2002,9:33,1705-24644,Cooper's,I,F,253,525,19.5,23.5,213,216,NA,NA,3,0
9,18,2003,11:55,1204-45879,Cooper's,I,M,216,305,16,20.4,185,191,NA,NA,2,0
9,18,2003,13:50,1705-37417,Cooper's,I,F,256,510,18.8,23.3,212,217,NA,NA,2.5,0.125
9,23,2003,14:00,1705-37418,Cooper's,I,F,255,440,18.6,22.8,214,220,NA,NA,2,0
9,24,2003,9:53,1204-45880,Cooper's,I,M,218,295,16.1,19.4,183,187,NA,NA,2.5,0
9,26,2003,11:27,1204-45881,Cooper's,I,M,225,300,16,20.1,183,192,NA,NA,2,0
9,28,2003,10:11,1705-37419,Cooper's,A,M,230,330,15.7,19.4,188,196,NA,NA,1,0
9,30,2003,12:05,1705-37420,Cooper's,A,F,252,470,19.5,28.4,211,213,NA,NA,3,0
10,1,2003,10:07,1204-45882,Cooper's,A,M,233,335,16.3,21.3,187,194,NA,NA,3,0
10,4,2003,12:46,1204-45883,Cooper's,I,M,230,335,16.3,19.7,201,210,NA,NA,2.5,0.5
10,5,2003,10:58,1204-45884,Cooper's,I,M,220,335,16.2,20,185,190,NA,NA,2,0
10,22,2003,12:19,1204-45885,Cooper's,A,M,230,360,16,22.1,186,190,NA,NA,3,0
10,31,2003,11:20,1204-45886,Cooper's,I,M,220,320,15.5,19.5,184,187,NA,NA,2,0.25
9,19,1992,13:30,877-76317,Red-tailed,I,NA,385,920,25.7,30.1,219,NA,NA,NA,NA,NA
9,22,1992,10:30,877-76318,Red-tailed,I,NA,376,930,NA,NA,221,NA,NA,NA,NA,NA
9,23,1992,12:45,877-76319,Red-tailed,I,NA,381,990,26.7,31.3,235,NA,NA,NA,NA,NA
9,28,1992,11:25,1207-55910 ,Red-tailed,I,NA,412,1090,28.5,32.2,230,NA,NA,NA,NA,NA
9,28,1992,13:30,877-76320,Red-tailed,I,NA,370,960,25.3,30.1,212,NA,NA,NA,NA,NA
9,29,1992,11:45,877-76321,Red-tailed,A,NA,375,855,27.2,30,243,NA,NA,NA,NA,NA
9,29,1992,15:35,877-76322,Red-tailed,A,NA,412,1210,29.3,31.3,210,NA,NA,NA,NA,NA
9,30,1992,13:45,1207-55911,Red-tailed,I,NA,405,1120,26,30.2,238,NA,NA,NA,NA,NA
10,5,1992,13:30,877-76323,Red-tailed,I,NA,393,1010,26.3,30.8,222,NA,NA,NA,NA,NA
10,8,1992,13:45,877-76324,Red-tailed,I,NA,371,1010,25.4,29.7,217,NA,NA,NA,NA,NA
10,9,1992,12:30,877-76325,Red-tailed,A,NA,390,1120,28.9,30.9,213,NA,NA,NA,NA,NA
10,10,1992,11:05,1207-55917,Red-tailed,A,NA,393,NA,28.2,30.6,238,NA,NA,NA,NA,NA
10,11,1992,11:00,1207-55912,Red-tailed,I,NA,416,1170,26.5,34,243,NA,NA,NA,NA,NA
10,11,1992,11:45,1207-55913,Red-tailed,A,NA,436,1390,30.5,34,232,NA,NA,NA,NA,NA
10,11,1992,12:40,877-76326,Red-tailed,I,NA,418,1150,27.1,31,238,NA,NA,NA,NA,NA
10,11,1992,14:20,877-76327,Red-tailed,A,NA,381,950,28.9,28.9,202,NA,NA,NA,NA,NA
10,12,1992,13:40,877-76328,Red-tailed,I,NA,378,910,25.7,28.2,227,NA,NA,NA,NA,NA
10,13,1992,11:00,877-76329,Red-tailed,I,NA,396,1010,24,26.9,227,NA,NA,NA,NA,NA
10,13,1992,14:50,877-76330,Red-tailed,I,NA,399,1070,26.4,31.2,222,NA,NA,NA,NA,NA
10,14,1992,13:15,877-76331,Red-tailed,I,NA,416,1190,28.8,31.6,237,NA,NA,NA,NA,NA
10,17,1992,12:10,877-76332,Red-tailed,I,NA,415,101,24.9,30.7,238,NA,NA,NA,NA,NA
10,22,1992,13:05,877-76333,Red-tailed,A,NA,392,1330,27,30.3,213,NA,NA,NA,NA,NA
10,23,1992,11:45,877-76334,Red-tailed,I,NA,380,990,26,30,211,NA,NA,NA,NA,NA
10,24,1992,14:35,877-76335,Red-tailed,I,NA,399,1100,26.2,32.5,190,NA,NA,NA,NA,NA
10,25,1992,12:05,1207-55914,Red-tailed,A,NA,401,1190,28.6,31.6,245,NA,NA,NA,NA,NA
10,27,1992,10:45,608-48703,Red-tailed,I,NA,427,1490,30.1,32.4,246,NA,NA,NA,NA,NA
10,27,1992,15:15,1207-55915,Red-tailed,A,NA,395,1040,27.1,31.4,207,NA,NA,NA,NA,NA
10,30,1992,11:05,877-76336,Red-tailed,I,NA,362,820,24.9,27.9,209,NA,NA,NA,NA,NA
11,3,1992,10:15,1207-55916,Red-tailed,A,NA,396,1030,26,29.7,200,NA,NA,NA,NA,NA
11,8,1992,11:45,1207-55918,Red-tailed,A,NA,391,1300,25.5,32.4,215,NA,NA,NA,NA,NA
11,8,1992,13:30,1207-55919,Red-tailed,A,NA,413,1500,26.5,31.3,219,NA,NA,NA,NA,NA
11,13,1992,10:45,987-53707,Red-tailed,A,NA,371,1080,25.3,27.2,198,NA,NA,NA,NA,NA
11,16,1992,11:15,1207-55920,Red-tailed,A,NA,385,1320,27.3,30.1,207,NA,NA,NA,NA,NA
11,21,1992,14:00,877-76337,Red-tailed,A,NA,378,1490,25.4,31.3,204,NA,NA,NA,NA,NA
11,22,1992,10:08,1207-55921,Red-tailed,A,NA,416,1500,29.1,30.8,205,NA,NA,NA,NA,NA
9,21,1993,15:11,877-76339,Red-tailed,I,NA,384,1060,26.1,31.2,230,NA,NA,NA,NA,NA
9,22,1993,13:50,877-76340,Red-tailed,I,NA,382,1140,25.1,29.4,227,NA,NA,NA,NA,NA
9,22,1993,15:55,877-76341,Red-tailed,I,NA,390,1030,27.6,30.3,208,NA,NA,NA,NA,NA
9,27,1993,12:15,877-76342,Red-tailed,I,NA,390,1000,25.1,28.3,231,NA,NA,NA,NA,NA
9,27,1993,13:00,877-76344,Red-tailed,I,NA,393,1050,28.7,29.8,222,NA,NA,NA,NA,NA
9,27,1993,13:20,877-76345,Red-tailed,I,NA,378,1040,26.2,31.2,225,NA,NA,NA,NA,NA
9,27,1993,15:03,877-76346,Red-tailed,I,NA,398,1110,26.5,30.9,225,NA,NA,NA,NA,NA
9,28,1993,11:50,877-76347,Red-tailed,I,NA,412,1300,27.9,31.55,233,NA,NA,NA,NA,NA
9,28,1993,12:45,877-76348,Red-tailed,I,NA,400,980,25.7,29.3,214,NA,NA,NA,NA,NA
9,29,1993,9:53,877-76349,Red-tailed,I,NA,422,1120,26.4,28.3,233,NA,NA,NA,NA,NA
9,29,1993,15:30,877-76350,Red-tailed,I,NA,394,1270,27.8,31.6,245,NA,NA,NA,NA,NA
9,30,1993,13:25,787-53708,Red-tailed,I,NA,369,880,25,26.5,210,NA,NA,NA,NA,NA
10,3,1993,13:35,1207-55922,Red-tailed,I,NA,410,1255,29.7,31.4,229,NA,NA,NA,NA,NA
10,4,1993,11:25,1207-55923,Red-tailed,I,NA,241,1320,28.6,36.4,235,NA,NA,NA,NA,NA
10,7,1993,14:40,1207-55924,Red-tailed,I,NA,408,1320,30,33.4,221,NA,NA,NA,NA,NA
10,9,1993,9:38,877-76351,Red-tailed,I,NA,37.2,1180,20.2,26.65,210,NA,NA,NA,NA,NA
10,9,1993,10:20,877-76552,Red-tailed,I,NA,380,760,24.5,26.1,212,NA,NA,NA,NA,NA
10,10,1993,11:25,1207-55927,Red-tailed,I,NA,396,1250,26.6,32.5,225,NA,NA,NA,NA,NA
10,10,1993,13:27,877-76353,Red-tailed,I,NA,326,NA,25.2,27.7,215,NA,NA,NA,NA,NA
10,11,1993,14:00,877-76354,Red-tailed,I,NA,416,1300,27.3,32.7,235,NA,NA,NA,NA,NA
10,21,1993,9:20,877-76355,Red-tailed,A,NA,390,1080,30.2,29.1,209,NA,NA,NA,NA,NA
10,21,1993,15:30,877-76357,Red-tailed,A,NA,391,1130,26.4,29.4,212,NA,NA,NA,NA,NA
10,22,1993,16:35,877-76358,Red-tailed,A,NA,387,1160,26.8,31,209,NA,NA,NA,NA,NA
10,23,1993,13:05,1207-55941,Red-tailed,I,NA,420,1345,29.5,34.3,250,NA,NA,NA,NA,NA
10,25,1993,14:12,877-76359,Red-tailed,A,NA,435,1385,32.6,30.6,235,NA,NA,NA,NA,NA
10,26,1993,15:55,877-76360,Red-tailed,A,NA,400,1210,25.5,28.6,222,NA,NA,NA,NA,NA
10,31,1993,11:35,1207-55947,Red-tailed,I,NA,398,1455,28,31.5,236,NA,NA,NA,NA,NA
11,5,1993,11:00,877-76361,Red-tailed,I,NA,395,1180,25,28.9,210,NA,NA,NA,NA,NA
11,18,1993,10:37,877-76362,Red-tailed,I,NA,410,1500,27.1,33.2,239,NA,NA,NA,NA,NA
9,6,1994,9:55,1387-99101,Red-tailed,I,NA,369,1025,27.1,31.5,228,NA,NA,NA,NA,NA
9,6,1994,10:40,1387-99102,Red-tailed,I,NA,372,930,26.1,31.1,220,NA,NA,NA,NA,NA
9,7,1994,12:27,1387-99104,Red-tailed,I,NA,415,1360,28.6,33.5,233,NA,NA,NA,NA,NA
9,7,1994,13:35,1387-99103,Red-tailed,I,NA,412,1255,27.7,32.6,236,NA,NA,NA,NA,NA
9,12,1994,13:50,1387-97105,Red-tailed,I,NA,375,1065,25.9,30,216,NA,NA,NA,NA,NA
9,13,1994,11:58,1387-79106,Red-tailed,I,NA,385,1125,19.6,31.4,233,NA,NA,NA,NA,NA
9,15,1994,12:45,1207-64601,Red-tailed,I,NA,422,1340,28.7,32,248,NA,NA,NA,NA,NA
9,15,1994,13:20,1387-79107,Red-tailed,I,NA,391,1050,26.6,32.2,221,NA,NA,NA,NA,NA
9,15,1994,13:35,1387-79108,Red-tailed,I,NA,410,1210,27.5,308,227,NA,NA,NA,NA,NA
9,16,1994,10:23,1387-79109,Red-tailed,I,NA,385,980,26.8,27.8,223,NA,NA,NA,NA,NA
9,16,1994,11:20,1387-79111,Red-tailed,I,NA,381,1000,25.5,29.8,219,NA,NA,NA,NA,NA
8,18,1994,12:05,1207-64602,Red-tailed,A,NA,416,1390,28.1,31.3,225,NA,NA,NA,NA,NA
9,18,1994,13:20,1207-64603,Red-tailed,I,NA,406,1275,29,33.7,238,NA,NA,NA,NA,NA
9,19,1994,12:58,1207-64604,Red-tailed,I,NA,418,1180,30.1,341.4,235,NA,NA,NA,NA,NA
9,19,1994,14:05,1207-64605,Red-tailed,I,NA,412,1210,29.3,33.8,222,NA,NA,NA,NA,NA
9,29,1994,13:55,1387-79112,Red-tailed,I,NA,405,1085,27.7,29.9,238,NA,NA,NA,NA,NA
9,21,1994,13:50,1387-79113,Red-tailed,I,NA,380,810,25.9,28.7,229,NA,NA,NA,NA,NA
9,23,1994,11:48,1387-79114,Red-tailed,I,NA,381,905,27.9,29.1,227,NA,NA,NA,NA,NA
9,26,1994,12:10,1207-64606,Red-tailed,I,NA,428,1240,29.1,34.7,245,NA,NA,NA,NA,NA
9,26,1994,14:02,1207-64607,Red-tailed,I,NA,400,990,26.9,31.4,223,NA,NA,NA,NA,NA
9,27,1994,15:40,1307-79115,Red-tailed,I,NA,381,1010,25.8,31.7,210,NA,NA,NA,NA,NA
9,28,1994,9:25,1387-79116,Red-tailed,I,NA,403,980,26.3,29.7,234,NA,NA,NA,NA,NA
9,28,1994,11:10,1387-79117,Red-tailed,I,NA,382,860,26.5,29,219,NA,NA,NA,NA,NA
9,28,1994,11:38,1387-79118,Red-tailed,I,NA,382,970,25.8,29,216,NA,NA,NA,NA,NA
9,28,1994,13:02,1387-79119,Red-tailed,I,NA,399,980,27.5,29.9,230,NA,NA,NA,NA,NA
9,29,1994,13:55,1387-79120,Red-tailed,I,NA,380,985,23.9,29,223,NA,NA,NA,NA,NA
9,29,1994,13:16,1387-79121,Red-tailed,I,NA,375,990,25.6,30.6,220,NA,NA,NA,NA,NA
9,30,1994,10:39,1207-64608,Red-tailed,I,NA,420,1210,27.8,32.6,241,NA,NA,NA,NA,NA
10,4,1994,13:37,1387-79122,Red-tailed,I,NA,375,990,28,29.5,223,NA,NA,NA,NA,NA
10,4,1994,14:45,1207-64609,Red-tailed,I,NA,395,1170,28.1,31.7,238,NA,NA,NA,NA,NA
10,5,1994,13:55,1207-64610,Red-tailed,I,NA,406,1350,30.5,32,235,NA,NA,NA,NA,NA
10,5,1994,15:17,1207-64611,Red-tailed,I,NA,414,1370,29.3,33,240,NA,NA,NA,NA,NA
10,7,1994,10:50,1387-79123,Red-tailed,I,NA,388,985,26.9,29.8,220,NA,NA,NA,NA,NA
10,7,1994,11:24,1387-79124,Red-tailed,I,NA,277,940,26.5,30.4,218,NA,NA,NA,NA,NA
10,7,1994,12:15,1207-64612,Red-tailed,I,NA,423,1310,27.4,34.1,234,NA,NA,NA,NA,NA
10,7,1994,15:40,1387-79125,Red-tailed,I,NA,365,1035,26.1,30.8,232,NA,NA,NA,NA,NA
10,7,1994,16:35,1387-79126,Red-tailed,I,NA,383,965,26.1,31.8,221,NA,NA,NA,NA,NA
10,10,1994,11:02,1387-79127,Red-tailed,I,NA,391,1125,25.4,30.9,220,NA,NA,NA,NA,NA
10,10,1994,12:01,1387-79128,Red-tailed,I,NA,389,975,26.4,30.3,232,NA,NA,NA,NA,NA
10,10,1994,12:23,1387-79129,Red-tailed,I,NA,392,1140,26.2,29.8,214,NA,NA,NA,NA,NA
10,10,1994,13:10,1387-79130,Red-tailed,I,NA,375,950,25.3,29.9,225,NA,NA,NA,NA,NA
10,10,1994,13:50,1207-64613,Red-tailed,I,NA,410,1210,28.1,28.9,238,NA,NA,NA,NA,NA
10,13,1994,13:05,1207-64614,Red-tailed,I,NA,422,1205,28.8,31.3,238,NA,NA,NA,NA,NA
10,13,1994,14:00,1387-79131,Red-tailed,I,NA,385,1045,27.6,27.5,229,NA,NA,NA,NA,NA
